Software Name,version,EOL Date,Release Date
Unknown,7.1 (Cortex XDR agent),2021-06-04,2020-04-22
Unknown,7.0 (Cortex XDR agent),2021-06-04,2019-12-04
Unknown,6.1,2022-07-01,2019-07-02
Unknown,6.0,2020-02-26,2019-02-26
Unknown,5.0,2024-06-01,2018-03-19
Unknown,4.2,,2018-06-25
Unknown,4.1,2019-09-15,2017-09-15
Unknown,4.0,2018-04-05,2017-04-05
Unknown,3.4,2019-08-21,2016-08-21
Unknown,3.3,2017-02-28,2015-11-10
Unknown,3.2,2016-03-31,2015-03-31
Unknown,3.1,2015-09-03,
Unknown,GlobalProtect App version,,
Unknown,6.3,,
Unknown,6.2,,
Unknown,6.1***,,
Unknown,6.0**,,
Unknown,5.3,,
Unknown,5.2,,
Unknown,5.1,,
Unknown,5.0,,
Unknown,4.1,,
Unknown,4.0,,
Unknown,3.1,,
Unknown,3.0,,
Unknown,Version,,
Unknown,22.12,2023-12-03,2022-12-04
Unknown,22.06,2023-08-20,2022-06-09
Unknown,22.01,2023-04-23,2022-01-10
Unknown,21.08,2022-12-04,2021-09-08
Unknown,21.04,2022-06-09,2021-04-26
Unknown,20.12,2021-09-08,2020-12-21
Unknown,20.09,2021-04-26,2020-09-22
Unknown,20.04,2020-12-21,2020-04-07
Unknown,19.11,2020-09-22,2019-11-20
Unknown,End-of-Sale Product,,
Unknown,"LightCyber Magna Detector Virtual Appliance
(D-150V)",2020-12-31,2017-12-31
Unknown,"LightCyber Magna Probe Virtual Appliance
(P-50TV)",2020-12-31,2017-12-31
Unknown,LightCyber Magna Master Virtual Appliance (M-100V),2020-12-31,2017-12-31
Unknown,Platform,,
Unknown,Evident.io,,
Unknown,Version,,
Unknown,6.5,,
Unknown,6.4,,
Unknown,6.3,,
Unknown,6.2,,
Unknown,6.1,,
Unknown,6.0,,
Unknown,5.6***,,
Unknown,5.5,,
Unknown,5.4,,
Unknown,5.2,,
Unknown,5.1,,
Unknown,5.0,,
Unknown,4.7,,
Unknown,4.6,,
Unknown,4.5,,
Unknown,4.4,,
Unknown,Product,,
Unknown,BrightCloud,2021-07-31,2009-01-05
Unknown,End-of-Sale Product,,
Unknown,"VM-Series Models
(VM-50, VM-100, VM-200, VM-300, VM-500, VM-700, VM-1000-HV)",2024-07-31,2021-07-31
