Date,City,Temperature,Humidity,Weather,City_Weather
04-Feb-24,Bangalore,,75,Sunny,Bangalore-Sunny
02-10-2024,Mumbai,,90,CLEAR,Mumbai-CLEAR
01-01-2024,Kolkata,,84,Clear,Kolkata-Clear
01-09-2024,Delhi,24,56,Sunny,Delhi-Sunny
22-Feb-24,mumbai,29.3,,Cloudy,mumbai-Cloudy
01-15-2024,delhi,,,Clear,delhi-Clear
01-28-2024,mumbai,,55,Sunny,mumbai-Sunny
27-Feb-24,Bangalore,28.4,58,Clear,Bangalore-Clear
08-02-2024,Chennai,31,82,rain,Chennai-rain
11-02-2024,Delhi,,,rain,Delhi-rain
14-01-2024,Chennai,,,Rain,Chennai-Rain
11-01-2024,Bangalore,27.6,85,Rain,Bangalore-Rain
17-01-2024,Bangalore,,,Rain,Bangalore-Rain
26-Feb-24,Kolkata,23.1,,Cloudy,Kolkata-Cloudy
18-02-2024,Chennai,15.8,63,Cloudy,Chennai-Cloudy
23-01-2024,delhi,25.9,76,Sunny,delhi-Sunny
08-02-2024,Delhi,24.5,,rain,Delhi-rain
15-01-2024,Chennai,22.5,65,Cloudy,Chennai-Cloudy
02-27-2024,Kolkata,,53,Clear,Kolkata-Clear
28-02-2024,mumbai,,,rain,mumbai-rain
01-18-2024,Chennai,16.6,78,Clear,Chennai-Clear
30-Jan-24,Bangalore,,,Clear,Bangalore-Clear
28-02-2024,Chennai,34.5,87,Rain,Chennai-Rain
18-02-2024,Chennai,26.3,,rain,Chennai-rain
06-02-2024,mumbai,,51,rain,mumbai-rain
01-15-2024,Bangalore,,,CLEAR,Bangalore-CLEAR
11-01-2024,Mumbai,,71,CLEAR,Mumbai-CLEAR
01-14-2024,Mumbai,33.5,,Clear,Mumbai-Clear
25-02-2024,Bangalore,25.9,,Rain,Bangalore-Rain
21-01-2024,Kolkata,22.9,74,Sunny,Kolkata-Sunny
25-Feb-24,Mumbai,32.3,90,Cloudy,Mumbai-Cloudy
01-01-2024,delhi,,56,rain,delhi-rain
28-Jan-24,Kolkata,,81,rain,Kolkata-rain
21-02-2024,Chennai,,,rain,Chennai-rain
01-14-2024,Kolkata,25.8,,Rain,Kolkata-Rain
06-02-2024,mumbai,33.6,,sunny,mumbai-sunny
09-02-2024,Mumbai,28.4,64,Cloudy,Mumbai-Cloudy
01-01-2024,Delhi,22.2,,CLEAR,Delhi-CLEAR
01-02-2024,Kolkata,25.8,,Rain,Kolkata-Rain
20-Jan-24,Kolkata,,,Cloudy,Kolkata-Cloudy
02-14-2024,Chennai,,83,sunny,Chennai-sunny
02-29-2024,Delhi,,,Rain,Delhi-Rain
02-Feb-24,delhi,,70,Clear,delhi-Clear
24-01-2024,Kolkata,28.2,,Cloudy,Kolkata-Cloudy
01-26-2024,delhi,,,Rain,delhi-Rain
25-01-2024,Bangalore,,,Sunny,Bangalore-Sunny
03-Feb-24,Mumbai,30.7,79,Rain,Mumbai-Rain
03-Feb-24,Mumbai,28.5,74,rain,Mumbai-rain
29-02-2024,Bangalore,,74,Sunny,Bangalore-Sunny
27-02-2024,Chennai,20.3,,Rain,Chennai-Rain
19-Feb-24,Bangalore,,64,Clear,Bangalore-Clear
10-01-2024,mumbai,,,Clear,mumbai-Clear
03-01-2024,Mumbai,,,rain,Mumbai-rain
25-01-2024,Bangalore,,57,Clear,Bangalore-Clear
31-Jan-24,Kolkata,30.8,,Rain,Kolkata-Rain
25-02-2024,Kolkata,,66,rain,Kolkata-rain
27-02-2024,Bangalore,34.3,,Cloudy,Bangalore-Cloudy
01-28-2024,Kolkata,,80,rain,Kolkata-rain
24-02-2024,Delhi,,,Clear,Delhi-Clear
01-31-2024,delhi,,,Cloudy,delhi-Cloudy
19-02-2024,Chennai,,55,CLEAR,Chennai-CLEAR
18-01-2024,Kolkata,,76,Rain,Kolkata-Rain
21-Jan-24,Mumbai,29.4,,Sunny,Mumbai-Sunny
02-26-2024,Delhi,33.1,60,Sunny,Delhi-Sunny
01-31-2024,Bangalore,,89,rain,Bangalore-rain
01-22-2024,Delhi,22.6,,sunny,Delhi-sunny
02-21-2024,Delhi,,72,Clear,Delhi-Clear
23-Feb-24,Chennai,,90,Rain,Chennai-Rain
17-Feb-24,Bangalore,29,87,Rain,Bangalore-Rain
16-01-2024,mumbai,34.4,64,Cloudy,mumbai-Cloudy
02-02-2024,Chennai,,,CLEAR,Chennai-CLEAR
20-01-2024,Kolkata,,64,Rain,Kolkata-Rain
07-01-2024,Kolkata,,,rain,Kolkata-rain
02-14-2024,Mumbai,,,Clear,Mumbai-Clear
14-01-2024,Delhi,20.8,,rain,Delhi-rain
26-01-2024,Kolkata,31.9,86,CLEAR,Kolkata-CLEAR
15-01-2024,Kolkata,17,52,Rain,Kolkata-Rain
06-01-2024,mumbai,,51,Cloudy,mumbai-Cloudy
23-02-2024,mumbai,25.5,66,Rain,mumbai-Rain
13-01-2024,Kolkata,,,Cloudy,Kolkata-Cloudy
14-02-2024,Delhi,,77,Sunny,Delhi-Sunny
08-01-2024,Mumbai,,89,Rain,Mumbai-Rain
20-Feb-24,Bangalore,30.5,80,rain,Bangalore-rain
08-Feb-24,Delhi,34,,Cloudy,Delhi-Cloudy
01-02-2024,Chennai,,,CLEAR,Chennai-CLEAR
18-02-2024,delhi,18.4,,Clear,delhi-Clear
11-Jan-24,delhi,,53,rain,delhi-rain
01-24-2024,Delhi,,,rain,Delhi-rain
17-Jan-24,Bangalore,26.6,69,Sunny,Bangalore-Sunny
02-21-2024,Kolkata,23.3,,sunny,Kolkata-sunny
10-01-2024,mumbai,,53,Rain,mumbai-Rain
12-Feb-24,mumbai,19.8,53,CLEAR,mumbai-CLEAR
23-01-2024,Kolkata,31.5,,rain,Kolkata-rain
02-25-2024,Delhi,,89,rain,Delhi-rain
01-08-2024,Kolkata,,,Clear,Kolkata-Clear
19-01-2024,Chennai,26.2,82,Clear,Chennai-Clear
02-21-2024,mumbai,,65,rain,mumbai-rain
28-Jan-24,Kolkata,23,,Clear,Kolkata-Clear
02-23-2024,mumbai,,78,Sunny,mumbai-Sunny
06-Jan-24,Kolkata,16.5,,Sunny,Kolkata-Sunny
02-05-2024,Chennai,,89,sunny,Chennai-sunny
27-Feb-24,Chennai,19.7,85,rain,Chennai-rain
16-01-2024,Chennai,30,78,rain,Chennai-rain
03-01-2024,Delhi,,,Cloudy,Delhi-Cloudy
29-Jan-24,Kolkata,34.9,74,Sunny,Kolkata-Sunny
02-Feb-24,delhi,15.4,63,Rain,delhi-Rain
24-Feb-24,Mumbai,,,Rain,Mumbai-Rain
01-11-2024,delhi,27.2,76,sunny,delhi-sunny
09-02-2024,mumbai,,,Cloudy,mumbai-Cloudy
01-18-2024,delhi,,76,rain,delhi-rain
24-01-2024,Chennai,,,Clear,Chennai-Clear
29-01-2024,Mumbai,26.6,,Sunny,Mumbai-Sunny
27-01-2024,delhi,20.8,,Sunny,delhi-Sunny
23-01-2024,mumbai,29.7,52,sunny,mumbai-sunny
01-05-2024,mumbai,23.4,79,CLEAR,mumbai-CLEAR
02-08-2024,Kolkata,18.6,,Cloudy,Kolkata-Cloudy
24-02-2024,Bangalore,31.7,85,rain,Bangalore-rain
02-22-2024,Kolkata,19.5,,Sunny,Kolkata-Sunny
19-01-2024,Delhi,,90,Cloudy,Delhi-Cloudy
02-Feb-24,Bangalore,,,Sunny,Bangalore-Sunny
16-02-2024,Kolkata,16.5,,Sunny,Kolkata-Sunny
01-24-2024,Delhi,,57,Rain,Delhi-Rain
19-02-2024,Mumbai,,,Sunny,Mumbai-Sunny
01-10-2024,Kolkata,19.1,,Cloudy,Kolkata-Cloudy
02-02-2024,Delhi,,88,Clear,Delhi-Clear
03-Feb-24,Delhi,,69,Rain,Delhi-Rain
08-02-2024,mumbai,,,Clear,mumbai-Clear
19-Jan-24,delhi,,61,Cloudy,delhi-Cloudy
19-01-2024,Mumbai,27.8,58,CLEAR,Mumbai-CLEAR
03-Feb-24,delhi,,68,Cloudy,delhi-Cloudy
02-10-2024,Mumbai,21.1,,Rain,Mumbai-Rain
02-17-2024,Kolkata,30.4,,Sunny,Kolkata-Sunny
01-18-2024,Delhi,,,Rain,Delhi-Rain
21-01-2024,mumbai,,,Rain,mumbai-Rain
01-26-2024,mumbai,,,Rain,mumbai-Rain
24-Feb-24,Chennai,16.1,90,Clear,Chennai-Clear
28-Jan-24,Bangalore,21.6,,Clear,Bangalore-Clear
01-24-2024,Chennai,,,rain,Chennai-rain
07-01-2024,Mumbai,34.5,86,Sunny,Mumbai-Sunny
15-01-2024,delhi,30.1,62,Cloudy,delhi-Cloudy
01-15-2024,Bangalore,,83,Rain,Bangalore-Rain
24-01-2024,Kolkata,28.6,,Rain,Kolkata-Rain
05-01-2024,Delhi,23,,CLEAR,Delhi-CLEAR
02-05-2024,Mumbai,,,Sunny,Mumbai-Sunny
18-Jan-24,Bangalore,25.7,88,rain,Bangalore-rain
15-02-2024,Bangalore,26.8,71,rain,Bangalore-rain
28-01-2024,Kolkata,25.7,76,sunny,Kolkata-sunny
22-Jan-24,mumbai,,,Cloudy,mumbai-Cloudy
20-Jan-24,Chennai,19,,Rain,Chennai-Rain
03-02-2024,Delhi,,,rain,Delhi-rain
02-28-2024,Delhi,,,sunny,Delhi-sunny
27-02-2024,Chennai,,87,rain,Chennai-rain
24-02-2024,Mumbai,,,sunny,Mumbai-sunny
09-01-2024,Mumbai,,86,Sunny,Mumbai-Sunny
09-01-2024,Delhi,21.8,,Cloudy,Delhi-Cloudy
01-10-2024,Kolkata,,,Clear,Kolkata-Clear
01-03-2024,delhi,,,Clear,delhi-Clear
10-01-2024,Kolkata,,59,Sunny,Kolkata-Sunny
01-06-2024,Delhi,15.4,,Rain,Delhi-Rain
10-02-2024,delhi,,80,Clear,delhi-Clear
25-Feb-24,Chennai,18,,rain,Chennai-rain
01-22-2024,Mumbai,32.6,87,Rain,Mumbai-Rain
01-18-2024,delhi,,69,Clear,delhi-Clear
02-08-2024,Bangalore,19.3,81,Sunny,Bangalore-Sunny
02-20-2024,Bangalore,,66,Clear,Bangalore-Clear
10-01-2024,delhi,,56,Sunny,delhi-Sunny
24-02-2024,Bangalore,18.4,54,CLEAR,Bangalore-CLEAR
07-02-2024,Bangalore,17,55,sunny,Bangalore-sunny
01-11-2024,mumbai,15.3,77,Clear,mumbai-Clear
29-Feb-24,delhi,29.2,,Sunny,delhi-Sunny
07-Jan-24,Mumbai,30.5,,Sunny,Mumbai-Sunny
29-Jan-24,mumbai,,,Rain,mumbai-Rain
04-02-2024,delhi,,73,Cloudy,delhi-Cloudy
28-02-2024,Delhi,19.7,65,sunny,Delhi-sunny
02-01-2024,Chennai,,,Sunny,Chennai-Sunny
16-02-2024,Delhi,26.3,57,Clear,Delhi-Clear
24-02-2024,Chennai,,72,Cloudy,Chennai-Cloudy
01-02-2024,Chennai,,89,Sunny,Chennai-Sunny
01-26-2024,Chennai,22.1,,Sunny,Chennai-Sunny
24-01-2024,Mumbai,,58,Cloudy,Mumbai-Cloudy
25-Feb-24,Bangalore,28.4,,Rain,Bangalore-Rain
03-Feb-24,Chennai,34.8,57,Cloudy,Chennai-Cloudy
05-Jan-24,Mumbai,33.3,,rain,Mumbai-rain
16-01-2024,Delhi,26.1,,Rain,Delhi-Rain
28-Feb-24,Kolkata,,,rain,Kolkata-rain
07-Feb-24,Delhi,,,Rain,Delhi-Rain
15-02-2024,delhi,24.2,,Clear,delhi-Clear
11-Jan-24,Kolkata,15.1,,sunny,Kolkata-sunny
14-02-2024,delhi,24.5,,Rain,delhi-Rain
17-02-2024,Mumbai,23.3,64,Sunny,Mumbai-Sunny
02-01-2024,Chennai,29.7,72,rain,Chennai-rain
23-01-2024,Delhi,,61,Sunny,Delhi-Sunny
02-02-2024,Kolkata,,62,Clear,Kolkata-Clear
30-01-2024,delhi,20.7,,sunny,delhi-sunny
01-Mar-24,Chennai,,53,CLEAR,Chennai-CLEAR
01-09-2024,Bangalore,22.8,,Clear,Bangalore-Clear
01-03-2024,Kolkata,,66,Rain,Kolkata-Rain
13-01-2024,delhi,,,Rain,delhi-Rain
05-02-2024,Kolkata,,65,rain,Kolkata-rain
23-01-2024,Mumbai,,,Sunny,Mumbai-Sunny
11-02-2024,delhi,,50,Cloudy,delhi-Cloudy
09-02-2024,Kolkata,32.7,,Cloudy,Kolkata-Cloudy
19-02-2024,Mumbai,17.7,,CLEAR,Mumbai-CLEAR
14-Feb-24,Bangalore,15.6,,sunny,Bangalore-sunny
14-01-2024,delhi,29.1,,CLEAR,delhi-CLEAR
01-21-2024,Mumbai,,73,Cloudy,Mumbai-Cloudy
12-02-2024,Mumbai,23.3,77,Sunny,Mumbai-Sunny
31-01-2024,Kolkata,18.7,,Clear,Kolkata-Clear
02-01-2024,Mumbai,,,Clear,Mumbai-Clear
14-01-2024,mumbai,,59,rain,mumbai-rain
20-02-2024,Bangalore,,89,Rain,Bangalore-Rain
15-01-2024,Bangalore,,,Clear,Bangalore-Clear
02-05-2024,Bangalore,21.6,,Rain,Bangalore-Rain
02-20-2024,mumbai,30.1,,CLEAR,mumbai-CLEAR
01-31-2024,Bangalore,,,Rain,Bangalore-Rain
04-02-2024,delhi,27,90,CLEAR,delhi-CLEAR
10-01-2024,Mumbai,,,rain,Mumbai-rain
01-24-2024,Mumbai,28.7,,Cloudy,Mumbai-Cloudy
30-01-2024,delhi,19.7,67,Clear,delhi-Clear
02-09-2024,mumbai,34.3,,Cloudy,mumbai-Cloudy
24-02-2024,Delhi,29.4,,CLEAR,Delhi-CLEAR
02-17-2024,Delhi,17.3,57,Clear,Delhi-Clear
09-Feb-24,Chennai,20,,sunny,Chennai-sunny
02-27-2024,Bangalore,24.9,90,Rain,Bangalore-Rain
01-27-2024,mumbai,,79,rain,mumbai-rain
01-16-2024,Kolkata,20.6,,Cloudy,Kolkata-Cloudy
02-01-2024,Chennai,,,sunny,Chennai-sunny
04-Feb-24,Bangalore,,,rain,Bangalore-rain
12-Jan-24,Kolkata,29.6,,CLEAR,Kolkata-CLEAR
16-02-2024,Bangalore,,,Clear,Bangalore-Clear
01-10-2024,delhi,17.1,58,CLEAR,delhi-CLEAR
25-01-2024,Mumbai,17.7,83,Sunny,Mumbai-Sunny
08-02-2024,Mumbai,,68,Sunny,Mumbai-Sunny
10-02-2024,Chennai,,85,sunny,Chennai-sunny
29-Jan-24,Kolkata,,65,Clear,Kolkata-Clear
30-Jan-24,delhi,28.8,53,sunny,delhi-sunny
20-02-2024,Kolkata,27.5,67,sunny,Kolkata-sunny
01-03-2024,Delhi,,,rain,Delhi-rain
24-Jan-24,mumbai,22.7,,rain,mumbai-rain
01-07-2024,Chennai,,69,rain,Chennai-rain
03-Feb-24,Chennai,23.1,62,Rain,Chennai-Rain
02-01-2024,Delhi,26.2,58,sunny,Delhi-sunny
29-Jan-24,mumbai,,66,Cloudy,mumbai-Cloudy
09-02-2024,Delhi,16.9,53,Clear,Delhi-Clear
01-28-2024,Chennai,17.3,,CLEAR,Chennai-CLEAR
05-Feb-24,Kolkata,,,Sunny,Kolkata-Sunny
01-20-2024,Kolkata,22.2,74,sunny,Kolkata-sunny
18-02-2024,Mumbai,,87,CLEAR,Mumbai-CLEAR
13-Jan-24,Delhi,,,Rain,Delhi-Rain
28-Feb-24,Mumbai,19.8,74,CLEAR,Mumbai-CLEAR
02-25-2024,Kolkata,25.7,,Sunny,Kolkata-Sunny
01-11-2024,Mumbai,24.3,71,sunny,Mumbai-sunny
02-18-2024,Bangalore,17,72,Clear,Bangalore-Clear
02-01-2024,mumbai,29.9,,rain,mumbai-rain
24-Jan-24,mumbai,30.2,54,CLEAR,mumbai-CLEAR
17-02-2024,Kolkata,23.1,67,sunny,Kolkata-sunny
07-01-2024,Bangalore,18.7,,sunny,Bangalore-sunny
26-Feb-24,delhi,,,rain,delhi-rain
16-01-2024,mumbai,15.1,76,Rain,mumbai-Rain
02-08-2024,Mumbai,29,56,Sunny,Mumbai-Sunny
14-Feb-24,delhi,27.2,90,CLEAR,delhi-CLEAR
01-27-2024,mumbai,15.6,80,sunny,mumbai-sunny
06-02-2024,Chennai,20.7,,Rain,Chennai-Rain
01-22-2024,Bangalore,31.1,,rain,Bangalore-rain
19-01-2024,Bangalore,30,59,rain,Bangalore-rain
01-06-2024,Kolkata,22.1,84,Clear,Kolkata-Clear
19-01-2024,Kolkata,35,83,Sunny,Kolkata-Sunny
19-01-2024,delhi,30.1,84,Clear,delhi-Clear
10-02-2024,Mumbai,,58,Rain,Mumbai-Rain
30-Jan-24,Kolkata,22.6,,sunny,Kolkata-sunny
20-02-2024,Chennai,22.2,77,Clear,Chennai-Clear
12-Feb-24,Kolkata,,,CLEAR,Kolkata-CLEAR
02-17-2024,Chennai,,82,sunny,Chennai-sunny
03-01-2024,Kolkata,25.4,50,CLEAR,Kolkata-CLEAR
04-02-2024,Bangalore,18.5,72,CLEAR,Bangalore-CLEAR
01-20-2024,Bangalore,28.7,,Sunny,Bangalore-Sunny
22-Feb-24,Mumbai,30.6,57,Cloudy,Mumbai-Cloudy
01-17-2024,Kolkata,18.4,,Rain,Kolkata-Rain
31-01-2024,Mumbai,27.1,,Clear,Mumbai-Clear
10-Feb-24,Chennai,29.5,79,sunny,Chennai-sunny
02-06-2024,Mumbai,,75,CLEAR,Mumbai-CLEAR
11-01-2024,Delhi,34.1,69,Sunny,Delhi-Sunny
01-21-2024,Bangalore,,59,CLEAR,Bangalore-CLEAR
20-02-2024,mumbai,,63,CLEAR,mumbai-CLEAR
22-Feb-24,Mumbai,31,59,CLEAR,Mumbai-CLEAR
04-Feb-24,Bangalore,,,sunny,Bangalore-sunny
01-Mar-24,delhi,,60,Cloudy,delhi-Cloudy
24-Jan-24,mumbai,,53,Rain,mumbai-Rain
24-02-2024,mumbai,26.7,,rain,mumbai-rain
02-02-2024,Bangalore,16,,rain,Bangalore-rain
02-12-2024,Bangalore,30.3,,Sunny,Bangalore-Sunny
01-17-2024,Kolkata,15.6,,Rain,Kolkata-Rain
17-01-2024,Chennai,,,Sunny,Chennai-Sunny
18-01-2024,Chennai,22.8,,rain,Chennai-rain
01-Feb-24,Mumbai,27.4,85,rain,Mumbai-rain
16-01-2024,Bangalore,32.2,76,rain,Bangalore-rain
17-02-2024,Mumbai,19.4,,CLEAR,Mumbai-CLEAR
30-Jan-24,Mumbai,33.8,,Sunny,Mumbai-Sunny
15-02-2024,Mumbai,22.3,59,CLEAR,Mumbai-CLEAR
27-Jan-24,Bangalore,26.7,69,Cloudy,Bangalore-Cloudy
27-02-2024,Mumbai,28.6,67,rain,Mumbai-rain
02-25-2024,mumbai,,54,Cloudy,mumbai-Cloudy
10-01-2024,Delhi,,72,Rain,Delhi-Rain
11-02-2024,Bangalore,,64,sunny,Bangalore-sunny
01-Jan-24,mumbai,22.1,90,Rain,mumbai-Rain
09-02-2024,Chennai,26.1,80,Cloudy,Chennai-Cloudy
05-01-2024,Mumbai,,68,Rain,Mumbai-Rain
01-01-2024,Mumbai,,,Clear,Mumbai-Clear
07-01-2024,Delhi,15.4,54,Clear,Delhi-Clear
04-Jan-24,Kolkata,,,Rain,Kolkata-Rain
01-28-2024,mumbai,28.5,57,sunny,mumbai-sunny
11-Jan-24,delhi,,,Cloudy,delhi-Cloudy
04-Feb-24,Mumbai,,,rain,Mumbai-rain
10-02-2024,Bangalore,,88,Sunny,Bangalore-Sunny
03-01-2024,Kolkata,,78,Rain,Kolkata-Rain
02-02-2024,Mumbai,,59,rain,Mumbai-rain
24-Jan-24,delhi,,84,sunny,delhi-sunny
02-Jan-24,Delhi,28,66,Clear,Delhi-Clear
01-16-2024,Mumbai,,,Clear,Mumbai-Clear
26-01-2024,Bangalore,,,CLEAR,Bangalore-CLEAR
04-01-2024,Kolkata,,72,Sunny,Kolkata-Sunny
23-01-2024,Delhi,,84,Rain,Delhi-Rain
12-01-2024,delhi,17.9,58,Rain,delhi-Rain
05-Jan-24,Bangalore,,,Clear,Bangalore-Clear
21-02-2024,Chennai,16.8,76,Rain,Chennai-Rain
01-19-2024,delhi,33.2,,sunny,delhi-sunny
18-Jan-24,Delhi,30.4,,Clear,Delhi-Clear
24-02-2024,mumbai,,,sunny,mumbai-sunny
13-02-2024,Mumbai,31.2,83,rain,Mumbai-rain
13-Feb-24,mumbai,33.1,,Clear,mumbai-Clear
04-01-2024,Mumbai,,83,Sunny,Mumbai-Sunny
26-01-2024,Kolkata,,59,sunny,Kolkata-sunny
01-01-2024,Kolkata,34.2,,sunny,Kolkata-sunny
29-01-2024,delhi,21.2,81,Cloudy,delhi-Cloudy
19-01-2024,Mumbai,26.5,74,Rain,Mumbai-Rain
09-02-2024,Chennai,21,87,Clear,Chennai-Clear
