DATE,CITY,TEMPRATURE,HUMIDITY,WEATHER
28-02-2024,Delhi,19.7,65,Sunny
02-01-2024,Chennai,25.54,71.37,Sunny
16-02-2024,Delhi,26.3,57,Clear
24-02-2024,Chennai,26.78,72,Cloudy
01-02-2024,Chennai,25.54,89,Sunny
01-26-2024,Chennai,22.1,71.37,Sunny
24-01-2024,Mumbai,26.78,58,Cloudy
25-02-2024,Bangalore,28.4,73.14,Rain
03-02-2024,Chennai,34.8,57,Cloudy
05-01-2024,Mumbai,33.3,73.14,Rain
16-01-2024,Delhi,26.1,73.14,Rain
28-02-2024,Kolkata,25.31,73.14,Rain
07-02-2024,Delhi,25.31,73.14,Rain
15-02-2024,Delhi,24.2,68.69,Clear
11-01-2024,Kolkata,15.1,71.37,Sunny
14-02-2024,Delhi,24.5,73.14,Rain
17-02-2024,Mumbai,23.3,64,Sunny
02-01-2024,Chennai,29.7,72,Rain
23-01-2024,Delhi,25.54,61,Sunny
02-02-2024,Kolkata,24,62,Clear
30-01-2024,Delhi,20.7,71.37,Sunny
01-03-2024,Chennai,24,53,Clear
01-09-2024,Bangalore,22.8,68.69,Clear
01-03-2024,Kolkata,25.31,66,Rain
13-01-2024,Delhi,25.31,73.14,Rain
05-02-2024,Kolkata,25.31,65,Rain
23-01-2024,Mumbai,25.54,71.37,Sunny
11-02-2024,Delhi,26.78,50,Cloudy
09-02-2024,Kolkata,32.7,66.55,Cloudy
19-02-2024,Mumbai,17.7,68.69,Clear
14-02-2024,Bangalore,15.6,71.37,Sunny
14-01-2024,Delhi,29.1,68.69,Clear
01-21-2024,Mumbai,26.78,73,Cloudy
12-02-2024,Mumbai,23.3,77,Sunny
31-01-2024,Kolkata,18.7,68.69,Clear
02-01-2024,Mumbai,24,68.69,Clear
14-01-2024,Mumbai,25.31,59,Rain
20-02-2024,Bangalore,25.31,89,Rain
15-01-2024,Bangalore,24,68.69,Clear
02-05-2024,Bangalore,21.6,73.14,Rain
02-20-2024,Mumbai,30.1,68.69,Clear
01-31-2024,Bangalore,25.31,73.14,Rain
04-02-2024,Delhi,27,90,Clear
10-01-2024,Mumbai,25.31,73.14,Rain
01-24-2024,Mumbai,28.7,66.55,Cloudy
30-01-2024,Delhi,19.7,67,Clear
02-09-2024,Mumbai,34.3,66.55,Cloudy
24-02-2024,Delhi,29.4,68.69,Clear
02-17-2024,Delhi,17.3,57,Clear
09-02-2024,Chennai,20,71.37,Sunny
02-27-2024,Bangalore,24.9,90,Rain
01-27-2024,Mumbai,25.31,79,Rain
01-16-2024,Kolkata,20.6,66.55,Cloudy
04-02-2024,Bangalore,25.31,73.14,Rain
12-01-2024,Kolkata,29.6,68.69,Clear
16-02-2024,Bangalore,24,68.69,Clear
01-10-2024,Delhi,17.1,58,Clear
25-01-2024,Mumbai,17.7,83,Sunny
08-02-2024,Mumbai,25.54,68,Sunny
10-02-2024,Chennai,25.54,85,Sunny
29-01-2024,Kolkata,24,65,Clear
30-01-2024,Delhi,28.8,53,Sunny
20-02-2024,Kolkata,27.5,67,Sunny
01-03-2024,Delhi,25.31,73.14,Rain
24-01-2024,Mumbai,22.7,73.14,Rain
01-07-2024,Chennai,25.31,69,Rain
03-02-2024,Chennai,23.1,62,Rain
02-01-2024,Delhi,26.2,58,Sunny
29-01-2024,Mumbai,26.78,66,Cloudy
09-02-2024,Delhi,16.9,53,Clear
01-28-2024,Chennai,17.3,68.69,Clear
05-02-2024,Kolkata,25.54,71.37,Sunny
01-20-2024,Kolkata,22.2,74,Sunny
18-02-2024,Mumbai,24,87,Clear
28-02-2024,Mumbai,19.8,74,Clear
02-25-2024,Kolkata,25.7,71.37,Sunny
01-11-2024,Mumbai,24.3,71,Sunny
02-18-2024,Bangalore,17,72,Clear
02-01-2024,Mumbai,29.9,73.14,Rain
24-01-2024,Mumbai,30.2,54,Clear
17-02-2024,Kolkata,23.1,67,Sunny
07-01-2024,Bangalore,18.7,71.37,Sunny
26-02-2024,Delhi,25.31,73.14,Rain
16-01-2024,Mumbai,15.1,76,Rain
02-08-2024,Mumbai,29,56,Sunny
14-02-2024,Delhi,27.2,90,Clear
01-27-2024,Mumbai,15.6,80,Sunny
06-02-2024,Chennai,20.7,73.14,Rain
01-22-2024,Bangalore,31.1,73.14,Rain
19-01-2024,Bangalore,30,59,Rain
01-06-2024,Kolkata,22.1,84,Clear
19-01-2024,Kolkata,35,83,Sunny
19-01-2024,Delhi,30.1,84,Clear
10-02-2024,Mumbai,25.31,58,Rain
30-01-2024,Kolkata,22.6,71.37,Sunny
20-02-2024,Chennai,22.2,77,Clear
12-02-2024,Kolkata,24,68.69,Clear
02-17-2024,Chennai,25.54,82,Sunny
03-01-2024,Kolkata,25.4,50,Clear
04-02-2024,Bangalore,18.5,72,Clear
01-20-2024,Bangalore,28.7,71.37,Sunny
22-02-2024,Mumbai,30.6,57,Cloudy
01-17-2024,Kolkata,18.4,73.14,Rain
31-01-2024,Mumbai,27.1,68.69,Clear
10-02-2024,Chennai,29.5,79,Sunny
02-06-2024,Mumbai,24,75,Clear
11-01-2024,Delhi,34.1,69,Sunny
01-21-2024,Bangalore,24,59,Clear
20-02-2024,Mumbai,24,63,Clear
22-02-2024,Mumbai,31,59,Clear
04-02-2024,Bangalore,25.54,71.37,Sunny
01-03-2024,Delhi,26.78,60,Cloudy
24-01-2024,Mumbai,25.31,53,Rain
24-02-2024,Mumbai,26.7,73.14,Rain
02-02-2024,Bangalore,16,73.14,Rain
02-12-2024,Bangalore,30.3,71.37,Sunny
01-17-2024,Kolkata,15.6,73.14,Rain
17-01-2024,Chennai,25.54,71.37,Sunny
18-01-2024,Chennai,22.8,73.14,Rain
01-02-2024,Mumbai,27.4,85,Rain
16-01-2024,Bangalore,32.2,76,Rain
17-02-2024,Mumbai,19.4,68.69,Clear
30-01-2024,Mumbai,33.8,71.37,Sunny
15-02-2024,Mumbai,22.3,59,Clear
27-01-2024,Bangalore,26.7,69,Cloudy
27-02-2024,Mumbai,28.6,67,Rain
02-25-2024,Mumbai,26.78,54,Cloudy
10-01-2024,Delhi,25.31,72,Rain
11-02-2024,Bangalore,25.54,64,Sunny
01-01-2024,Mumbai,22.1,90,Rain
09-02-2024,Chennai,26.1,80,Cloudy
05-01-2024,Mumbai,25.31,68,Rain
01-01-2024,Mumbai,24,68.69,Clear
07-01-2024,Delhi,15.4,54,Clear
04-01-2024,Kolkata,25.31,73.14,Rain
01-28-2024,Mumbai,28.5,57,Sunny
11-01-2024,Delhi,26.78,66.55,Cloudy
04-02-2024,Mumbai,25.31,73.14,Rain
10-02-2024,Bangalore,25.54,88,Sunny
03-01-2024,Kolkata,25.31,78,Rain
02-02-2024,Mumbai,25.31,59,Rain
24-01-2024,Delhi,25.54,84,Sunny
02-01-2024,Delhi,28,66,Clear
01-16-2024,Mumbai,24,68.69,Clear
26-01-2024,Bangalore,24,68.69,Clear
04-01-2024,Kolkata,25.54,72,Sunny
23-01-2024,Delhi,25.31,84,Rain
12-01-2024,Delhi,17.9,58,Rain
05-01-2024,Bangalore,24,68.69,Clear
21-02-2024,Chennai,16.8,76,Rain
01-19-2024,Delhi,33.2,71.37,Sunny
18-01-2024,Delhi,30.4,68.69,Clear
13-02-2024,Mumbai,31.2,83,Rain
13-02-2024,Mumbai,33.1,68.69,Clear
04-01-2024,Mumbai,25.54,83,Sunny
26-01-2024,Kolkata,25.54,59,Sunny
01-01-2024,Kolkata,34.2,71.37,Sunny
29-01-2024,Delhi,21.2,81,Cloudy
19-01-2024,Mumbai,26.5,74,Rain
09-02-2024,Chennai,21,87,Clear
01-29-2024,Delhi,28.5,71.37,Sunny
02-01-2024,Chennai,21.7,67,Cloudy
03-01-2024,Delhi,19.7,70,Clear
27-01-2024,Mumbai,34.6,59,Clear
30-01-2024,Mumbai,24,89,Clear
24-02-2024,Mumbai,26.1,68.69,Clear
23-01-2024,Kolkata,25.31,73.14,Rain
01-15-2024,Mumbai,29.7,73.14,Rain
02-01-2024,Bangalore,25.54,71.37,Sunny
11-01-2024,Mumbai,22.2,51,Sunny
02-05-2024,Mumbai,24,88,Clear
01-12-2024,Chennai,25.54,71.37,Sunny
23-01-2024,Delhi,15.3,61,Clear
18-01-2024,Chennai,24.1,68.69,Clear
24-01-2024,Chennai,18.6,58,Clear
06-02-2024,Delhi,30.5,90,Sunny
15-01-2024,Mumbai,26.78,76,Cloudy
26-01-2024,Chennai,33.6,76,Cloudy
21-02-2024,Delhi,25.54,54,Sunny
09-02-2024,Bangalore,25.31,82,Rain
16-02-2024,Mumbai,17.6,88,Rain
27-02-2024,Delhi,25.54,71.37,Sunny
18-02-2024,Delhi,24,80,Clear
19-02-2024,Delhi,25.54,85,Sunny
02-21-2024,Mumbai,30.4,86,Sunny
19-02-2024,Kolkata,24.9,71.37,Sunny
23-01-2024,Chennai,29.9,67,Cloudy
01-01-2024,Delhi,32.2,71.37,Sunny
17-02-2024,Chennai,29.6,71.37,Sunny
01-19-2024,Delhi,24,68.69,Clear
26-02-2024,Mumbai,21.5,68,Clear
22-01-2024,Bangalore,25.54,71.37,Sunny
04-01-2024,Bangalore,25.31,73.14,Rain
23-02-2024,Delhi,25.31,73.14,Rain
27-02-2024,Mumbai,18.9,71.37,Sunny
02-02-2024,Mumbai,32.4,77,Clear
28-02-2024,Kolkata,19,71,Clear
01-03-2024,Mumbai,17,66.55,Cloudy
05-02-2024,Delhi,25.54,71.37,Sunny
01-15-2024,Delhi,17.1,68.69,Clear
25-02-2024,Mumbai,21.1,73.14,Rain
01-03-2024,Mumbai,23,61,Rain
17-01-2024,Mumbai,25.54,71.37,Sunny
29-02-2024,Bangalore,24,85,Clear
03-02-2024,Delhi,18.1,64,Rain
17-02-2024,Mumbai,25.54,70,Sunny
31-01-2024,Delhi,18,71.37,Sunny
27-02-2024,Mumbai,24,68.69,Clear
07-02-2024,Kolkata,24,68.69,Clear
02-22-2024,Delhi,25.54,76,Sunny
14-02-2024,Mumbai,21.9,78,Sunny
17-01-2024,Mumbai,26.78,81,Cloudy
24-01-2024,Delhi,21.4,85,Rain
20-02-2024,Mumbai,26.78,66.55,Cloudy
04-02-2024,Delhi,25.31,73.14,Rain
01-11-2024,Bangalore,16.7,56,Rain
25-02-2024,Bangalore,25.31,73.14,Rain
01-03-2024,Chennai,31.8,73.14,Rain
02-08-2024,Delhi,17.2,68.69,Clear
23-02-2024,Bangalore,24,68.69,Clear
13-01-2024,Bangalore,25.54,90,Sunny
02-01-2024,Mumbai,21.2,66.55,Cloudy
17-01-2024,Mumbai,33.2,64,Clear
02-23-2024,Kolkata,19.4,73.14,Rain
05-02-2024,Delhi,22.4,68.69,Clear
25-01-2024,Bangalore,24,68.69,Clear
02-27-2024,Chennai,26.78,66.55,Cloudy
05-02-2024,Chennai,25.31,73.14,Rain
26-02-2024,Bangalore,19,66.55,Cloudy
20-02-2024,Delhi,29.4,71.37,Sunny
01-02-2024,Chennai,25.31,65,Rain
24-02-2024,Kolkata,26.78,85,Cloudy
02-19-2024,Chennai,20.8,83,Cloudy
02-01-2024,Bangalore,26.78,54,Cloudy
10-02-2024,Delhi,27.3,72,Rain
19-01-2024,Delhi,26.6,76,Clear
17-02-2024,Delhi,26.78,66.55,Cloudy
01-18-2024,Bangalore,33.7,81,Cloudy
05-01-2024,Mumbai,25.54,71.37,Sunny
13-01-2024,Kolkata,25.31,73.14,Rain
04-01-2024,Delhi,25.54,71.37,Sunny
28-01-2024,Mumbai,22.2,68,Cloudy
02-06-2024,Mumbai,25,71.37,Sunny
19-02-2024,Mumbai,33.1,82,Sunny
29-01-2024,Kolkata,25.54,71.37,Sunny
01-17-2024,Delhi,29.1,62,Sunny
01-07-2024,Delhi,25.54,71.37,Sunny
23-01-2024,Kolkata,27.5,65,Cloudy
16-01-2024,Kolkata,25,66.55,Cloudy
19-01-2024,Bangalore,25.31,51,Rain
01-02-2024,Delhi,17.5,76,Sunny
02-01-2024,Mumbai,25.31,73.14,Rain
27-01-2024,Mumbai,19,68.69,Clear
18-01-2024,Kolkata,24,50,Clear
22-01-2024,Mumbai,24,68.69,Clear
31-01-2024,Kolkata,33.4,71,Cloudy
03-01-2024,Mumbai,25.31,82,Rain
01-03-2024,Mumbai,34.3,73,Rain
13-01-2024,Mumbai,25.54,73,Sunny
02-17-2024,Mumbai,27.5,66.55,Cloudy
05-01-2024,Mumbai,25.31,84,Rain
18-02-2024,Chennai,24.5,58,Clear
23-01-2024,Delhi,29.9,73.14,Rain
28-01-2024,Bangalore,28.7,66.55,Cloudy
29-01-2024,Delhi,24,50,Clear
17-02-2024,Delhi,33.2,68.69,Clear
11-02-2024,Mumbai,33.7,75,Clear
,,,,
,,,,
,,,,
